,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31,31,39,41,50,51,54,254,212,212,212,212,212
Reserves,289,332,350,276,302,-467,-38,-127,-42,-204,-259,-385,"-1,670"
Borrowings +,554,718,"1,067","1,395","1,800","2,497","3,095","3,468","2,340","2,397","2,385","2,405","3,569"
Other Liabilities +,"1,737","1,729","1,796","1,987","2,024","2,238","2,372","1,834","1,196",683,460,467,464
Total Liabilities,"2,611","2,810","3,244","3,690","4,167","4,319","5,482","5,334","3,666","3,088","2,798","2,699","2,574"
Fixed Assets +,340,346,396,405,314,286,385,360,193,199,183,154,149
CWIP,36,60,11,8,9,5,4,5,5,5,5,5,5
Investments,29,46,94,0,27,30,21,16,1,1,1,1,1
Other Assets +,"2,206","2,359","2,743","3,277","3,817","3,998","5,072","4,953","3,467","2,883","2,609","2,539","2,419"
Total Assets,"2,611","2,810","3,244","3,690","4,167","4,319","5,482","5,334","3,666","3,088","2,798","2,699","2,574"
