,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,78,82,82,106,106,106,107,107,107,107
Reserves,281,640,774,"1,225","1,371","1,447","1,658","2,490","3,244","3,656"
Borrowings +,543,821,"1,028",842,980,"1,036","1,079","1,482","1,777","2,095"
Other Liabilities +,434,412,406,481,560,742,906,"1,671","1,840","2,197"
Total Liabilities,"1,273","1,888","2,224","2,653","3,017","3,331","3,750","5,751","6,968","8,056"
Fixed Assets +,499,801,"1,021","1,230","1,481","1,629","1,726","2,171","2,652","3,229"
CWIP,116,110,70,143,163,110,67,362,813,471
Investments,0,7,7,3,3,3,3,3,31,30
Other Assets +,658,970,"1,126","1,277","1,369","1,589","1,953","3,214","3,472","4,326"
Total Assets,"1,273","1,888","2,224","2,653","3,017","3,331","3,750","5,751","6,968","8,056"
