,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,6,6,6,8,10,10,10,10,10,13,14
Reserves,6,8,29,33,38,61,96,108,123,147,186,277,335
Borrowings +,20,33,23,35,41,65,74,96,77,90,150,171,190
Other Liabilities +,4,10,7,9,11,12,21,24,17,52,50,82,77
Total Liabilities,35,56,65,82,95,147,201,238,227,300,395,543,616
Fixed Assets +,23,23,27,30,31,39,44,62,57,102,160,219,274
CWIP,0,0,0,1,1,0,8,0,1,3,1,3,3
Investments,0,0,0,0,2,3,6,9,9,7,6,12,16
Other Assets +,11,33,37,51,62,105,143,168,161,188,229,309,324
Total Assets,35,56,65,82,95,147,201,238,227,300,395,543,616
