,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Reserves,12.93,15.66,19.05,22.24,25.33,28.98,33.81,38.99,43.37,49.00,55.12,63.76
Borrowings +,19.82,19.99,17.10,13.81,8.73,4.26,4.26,4.26,4.26,4.26,4.26,4.26
Other Liabilities +,17.19,18.75,22.98,13.13,13.82,14.34,15.31,16.00,15.42,16.35,14.69,16.35
Total Liabilities,53.94,58.40,63.13,53.18,51.88,51.58,57.38,63.25,67.05,73.61,78.07,88.37
Fixed Assets +,38.49,42.15,42.38,40.36,38.00,37.44,42.00,41.37,38.30,36.54,22.86,22.52
CWIP,1.30,0.45,0.02,0.02,0.02,0.18,0.03,0.03,0.03,0.04,0.00,0.37
Investments,3.02,3.02,3.03,3.03,3.03,3.03,3.03,3.03,3.03,7.03,7.30,8.04
Other Assets +,11.13,12.78,17.70,9.77,10.83,10.93,12.32,18.82,25.69,30.00,47.91,57.44
Total Assets,53.94,58.40,63.13,53.18,51.88,51.58,57.38,63.25,67.05,73.61,78.07,88.37
