,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,262,399,251,367,451
Expenses +,239,423,244,334,397
Operating Profit,23,-24,7,32,54
OPM %,9%,-6%,3%,9%,12%
Other Income +,11,59,13,16,21
Interest,4,10,9,7,3
Depreciation,20,43,36,30,33
Profit before tax,9,-18,-25,11,39
Tax %,-16%,-13%,-16%,22%,
Net Profit,11,-20,-29,8,33
EPS in Rs,168.40,-306.87,-436.20,0.78,3.07
