,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,46,44,55,54,57,69,72,83,88
Expenses +,42,53,56,47,45,47,51,58,63
Operating Profit,4,-10,-0,7,11,22,21,25,26
OPM %,8%,-22%,-1%,13%,20%,31%,30%,30%,29%
Other Income +,3,3,1,1,1,2,2,1,1
Interest,0,1,1,1,1,1,1,0,0
Depreciation,1,2,3,4,2,1,1,1,1
Profit before tax,5,-8,-3,3,10,21,22,24,25
Tax %,23%,1%,-43%,115%,13%,19%,18%,21%,
Net Profit,4,-8,-5,-0,9,17,18,19,20
EPS in Rs,2.01,-3.86,-2.18,-0.21,3.91,7.75,8.06,8.49,8.69
