,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,37,37,37,37,37,80,80,80,80,80,80,80,80
Reserves,591,581,508,261,105,-20,-59,-140,-214,-371,-474,-613,-670
Borrowings +,433,674,811,980,"1,310","1,254","1,339","1,111","1,143","1,356","1,402","1,456","1,486"
Other Liabilities +,686,766,845,642,454,344,342,512,480,324,329,306,318
Total Liabilities,"1,747","2,058","2,201","1,920","1,906","1,658","1,702","1,563","1,489","1,390","1,337","1,228","1,214"
Fixed Assets +,173,248,236,219,184,169,436,264,258,402,393,386,382
CWIP,39,50,57,59,23,23,23,23,23,23,23,23,23
Investments,3,5,1,1,2,1,2,1,0,0,0,0,0
Other Assets +,"1,533","1,755","1,907","1,642","1,697","1,466","1,241","1,276","1,209",965,922,820,810
Total Assets,"1,747","2,058","2,201","1,920","1,906","1,658","1,702","1,563","1,489","1,390","1,337","1,228","1,214"
