,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,2,2,2,98,98,112,112,112,112,112,112
Reserves,190,254,316,331,282,289,545,552,616,768,919,966
Borrowings +,84,230,282,240,466,546,328,345,223,165,124,110
Other Liabilities +,211,308,458,542,628,776,916,"1,004","1,194","1,273","1,141","1,411"
Total Liabilities,486,793,"1,058","1,115","1,474","1,709","1,902","2,014","2,145","2,318","2,297","2,600"
Fixed Assets +,303,480,674,696,904,"1,054","1,210","1,214","1,325","1,393","1,507","1,632"
CWIP,4,23,22,11,61,60,38,32,32,71,92,144
Investments,5,4,9,15,19,10,14,15,14,10,9,9
Other Assets +,174,286,354,393,491,585,639,754,773,844,689,814
Total Assets,486,793,"1,058","1,115","1,474","1,709","1,902","2,014","2,145","2,318","2,297","2,600"
