,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,11,30,30,30
Reserves,23,45,44,44
Borrowings +,19,23,18,40
Other Liabilities +,29,46,88,35
Total Liabilities,81,143,180,149
Fixed Assets +,13,14,15,15
CWIP,0,2,0,0
Investments,0,0,0,0
Other Assets +,68,127,165,135
Total Assets,81,143,180,149
