,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,10,10,21,44
Reserves,30,46,71,103
Borrowings +,63,154,254,297
Other Liabilities +,24,42,65,115
Total Liabilities,126,252,411,559
Fixed Assets +,22,29,29,45
CWIP,0,0,4,5
Investments,0,0,0,0
Other Assets +,104,223,378,509
Total Assets,126,252,411,559
