,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,59,59,12,89,89,89,89,89,12
Reserves,79,106,85,99,130,148,184,265,332
Borrowings +,177,215,322,305,272,252,259,288,361
Other Liabilities +,224,286,275,366,343,324,318,351,318
Total Liabilities,492,620,694,782,757,736,773,916,"1,022"
Fixed Assets +,186,202,290,349,350,338,387,463,457
CWIP,44,66,62,17,19,36,24,5,43
Investments,0,0,1,2,1,1,1,3,3
Other Assets +,262,352,342,415,387,360,361,444,519
Total Assets,492,620,694,782,757,736,773,916,"1,022"
