,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7
Reserves,122,153,237,273,299,324,349,372
Borrowings +,69,40,34,99,75,105,110,114
Other Liabilities +,48,67,72,78,63,79,84,100
Total Liabilities,246,267,351,458,444,516,550,593
Fixed Assets +,139,165,159,192,263,257,280,277
CWIP,1,0,10,47,1,0,1,9
Investments,0,1,56,56,17,26,23,24
Other Assets +,107,101,126,163,163,233,245,284
Total Assets,246,267,351,458,444,516,550,593
