,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,35,35,35,35,35,35,37,37
Reserves,-13,77,86,54,3,-27,-80,-112,-119
Borrowings +,131,58,121,0,0,0,4,2,1
Other Liabilities +,35,36,32,152,165,169,186,185,182
Total Liabilities,179,206,274,240,203,177,145,112,101
Fixed Assets +,88,86,133,185,157,128,102,78,68
CWIP,0,0,29,0,0,0,0,0,0
Investments,0,30,30,15,0,0,0,0,0
Other Assets +,91,90,82,40,47,48,43,35,33
Total Assets,179,206,274,240,203,177,145,112,101
