,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,246,318,436,491
Expenses +,229,271,367,415
Operating Profit,17,47,68,77
OPM %,7%,15%,16%,16%
Other Income +,4,2,1,1
Interest,5,8,9,7
Depreciation,7,8,9,9
Profit before tax,9,32,51,62
Tax %,27%,27%,30%,
Net Profit,7,23,36,44
EPS in Rs,6.32,22.64,34.71,42.39
