,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,85,85,85,85,85,85,85,85,169,169,169,169,169
Reserves,"1,867","1,851","1,922","1,905","1,744","2,099","1,922","1,973","1,970","1,651","1,309","2,494","1,285"
Borrowings +,5,5,5,4,3,2,2,1,1,0,35,20,23
Other Liabilities +,845,"1,089","1,077","1,136","1,384",869,995,"1,889","1,771","1,312","1,602","1,950","1,537"
Total Liabilities,"2,802","3,030","3,088","3,130","3,216","3,055","3,004","3,947","3,911","3,133","3,115","4,633","3,015"
Fixed Assets +,109,99,89,100,123,204,258,325,432,758,387,331,318
CWIP,9,16,44,62,115,268,605,923,"1,003",120,13,30,36
Investments,118,112,55,10,0,6,0,0,0,0,0,366,549
Other Assets +,"2,566","2,802","2,900","2,958","2,977","2,577","2,140","2,700","2,477","2,255","2,715","3,907","2,113"
Total Assets,"2,802","3,030","3,088","3,130","3,216","3,055","3,004","3,947","3,911","3,133","3,115","4,633","3,015"
