,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,98,98,98,98,98,98,96,95,95,95,95,95,95
Reserves,"1,753","1,902","2,039","2,193","2,334","2,467","2,548","2,675","2,134","2,336","2,333","2,416","2,346"
Borrowings +,"1,242","1,241","1,379","1,404","2,059","2,180","2,222","2,331","2,604","3,131","3,052","2,514","2,234"
Other Liabilities +,802,997,"1,344","1,814","1,666","3,317","4,027","3,924","5,907","5,448","5,729","6,384","6,434"
Total Liabilities,"3,895","4,237","4,860","5,509","6,157","8,062","8,893","9,025","10,740","11,010","11,208","11,408","11,108"
Fixed Assets +,137,284,330,335,315,373,595,610,678,919,903,817,845
CWIP,65,1,-0,41,52,45,1,-0,-0,-0,-0,-0,-0
Investments,4,0,0,0,0,229,0,112,113,114,114,115,115
Other Assets +,"3,689","3,952","4,529","5,134","5,789","7,415","8,298","8,302","9,949","9,976","10,191","10,476","10,149"
Total Assets,"3,895","4,237","4,860","5,509","6,157","8,062","8,893","9,025","10,740","11,010","11,208","11,408","11,108"
