,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,30,30,38,40,43,53,54,54,66,66,133,268,268
Reserves,-18,-29,-14,43,170,610,729,"2,588","2,701","2,776","2,795","2,730","2,767"
Borrowings +,16,55,43,9,5,6,136,67,40,26,20,0,0
Other Liabilities +,11,18,53,44,50,81,124,259,366,260,602,857,880
Total Liabilities,38,74,119,135,268,750,"1,043","2,968","3,174","3,130","3,550","3,854","3,915"
Fixed Assets +,10,14,25,45,51,67,90,"2,115","2,102","2,126","2,101","2,080","2,223"
CWIP,4,4,6,8,26,19,121,60,32,0,16,146,0
Investments,0,0,0,0,0,0,60,27,102,392,457,394,420
Other Assets +,24,56,89,82,191,664,772,768,938,612,976,"1,234","1,273"
Total Assets,38,74,119,135,268,750,"1,043","2,968","3,174","3,130","3,550","3,854","3,915"
