,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,612,699,"1,038","1,566","2,131","2,291"
Expenses +,450,499,795,"1,125","1,571","1,717"
Operating Profit,162,200,243,441,560,574
OPM %,26%,29%,23%,28%,26%,25%
Other Income +,3,76,237,-12,32,23
Interest,19,18,26,33,18,14
Depreciation,23,31,67,97,142,156
Profit before tax,122,228,387,300,432,427
Tax %,37%,24%,7%,28%,16%,
Net Profit,78,173,360,215,362,359
EPS in Rs,27.93,62.40,76.42,3.76,6.19,6.15
