,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"8,118","8,788","5,249","8,136","11,219"
Expenses +,"7,525","7,528","4,666","6,998","9,400"
Operating Profit,593,"1,259",583,"1,138","1,820"
OPM %,7%,14%,11%,14%,16%
Other Income +,63,63,73,103,108
Interest,225,469,530,389,376
Depreciation,282,885,963,997,"1,079"
Profit before tax,149,-33,-838,-145,473
Tax %,-115%,-402%,12%,18%,
Net Profit,321,-165,-736,-118,353
EPS in Rs,3.72,-1.89,-7.93,-1.16,3.92
