,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,758","2,220","2,657","2,637","2,801","3,415","4,039"
Expenses +,"1,657","2,060","2,529","2,514","2,588","3,357","3,918"
Operating Profit,102,160,128,123,213,58,121
OPM %,6%,7%,5%,5%,8%,2%,3%
Other Income +,13,16,32,14,22,18,19
Interest,6,7,8,18,34,35,31
Depreciation,44,54,58,92,102,115,116
Profit before tax,65,115,94,27,99,-74,-7
Tax %,20%,31%,24%,4%,35%,35%,
Net Profit,52,79,71,26,64,-48,-5
EPS in Rs,13.15,19.98,18.00,6.76,15.82,-11.89,-1.35
