,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,483,483,483,483,483,483,483,483
Reserves,"1,604","1,659","1,676","1,714","1,805","1,756","1,760","1,775"
Borrowings +,0,0,0,0,58,47,47,86
Other Liabilities +,282,331,296,348,282,363,442,455
Total Liabilities,"2,369","2,473","2,456","2,546","2,629","2,649","2,733","2,800"
Fixed Assets +,"1,342","1,676","1,686","1,590","1,583","1,467","1,408","1,407"
CWIP,392,92,32,45,6,53,49,75
Investments,174,206,228,259,286,290,294,297
Other Assets +,462,499,509,651,754,839,981,"1,021"
Total Assets,"2,369","2,473","2,456","2,546","2,629","2,649","2,733","2,800"
