,Mar 2014,Mar 2015,Mar 2016
Share Capital +,18,18,18
Reserves,167,180,93
Borrowings +,264,245,203
Other Liabilities +,193,361,183
Total Liabilities,642,803,497
Fixed Assets +,84,81,19
CWIP,1,1,5
Investments,0,0,3
Other Assets +,557,721,470
Total Assets,642,803,497
