,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,12,12,14,14,14,14,14,20
Reserves,-0,264,281,529,663,684,161,154,202
Borrowings +,0,93,85,92,4,1,0,8,50
Other Liabilities +,0,305,276,300,431,549,14,45,66
Total Liabilities,0,674,654,935,"1,112","1,248",190,221,338
Fixed Assets +,0,66,261,256,338,358,9,67,156
CWIP,0,193,2,0,0,10,18,3,6
Investments,0,14,18,309,87,73,142,47,61
Other Assets +,0,400,373,370,686,807,22,104,115
Total Assets,0,674,654,935,"1,112","1,248",190,221,338
