,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,24,24,30,30,30,30,30,34,40,40,40,40
Reserves,93,73,75,93,91,-52,-78,-67,-46,-22,-24,-39,-46
Borrowings +,32,101,108,156,198,213,257,182,178,142,99,109,118
Other Liabilities +,147,145,151,99,136,175,195,142,209,152,141,98,151
Total Liabilities,294,343,358,377,455,365,404,287,375,311,255,208,262
Fixed Assets +,26,57,60,62,66,46,39,25,18,22,17,18,18
CWIP,0,2,1,0,1,0,0,0,1,2,4,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,268,284,298,315,388,319,365,262,356,287,233,189,244
Total Assets,294,343,358,377,455,365,404,287,375,311,255,208,262
