,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,247,277,307,317,321,335,363,386,410,431,430,453,468
Borrowings +,0,0,53,43,43,47,129,90,75,73,72,26,21
Other Liabilities +,12,13,17,19,17,23,25,25,25,21,24,23,32
Total Liabilities,278,308,395,397,399,423,535,519,529,544,543,519,539
Fixed Assets +,54,77,131,196,163,163,176,183,189,192,187,203,206
CWIP,23,80,67,34,2,3,8,2,2,3,4,4,0
Investments,133,61,107,54,51,47,76,66,39,30,29,4,21
Other Assets +,68,90,90,113,184,210,276,269,298,319,323,307,312
Total Assets,278,308,395,397,399,423,535,519,529,544,543,519,539
