,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,40,40,40,40,40,40,40
Reserves,143,151,158,158,163,49,-30
Borrowings +,22,31,37,28,31,26,25
Other Liabilities +,28,48,27,9,9,16,26
Total Liabilities,234,270,262,236,243,130,61
Fixed Assets +,16,26,28,23,21,20,16
CWIP,1,0,0,0,0,0,0
Investments,4,0,0,0,0,0,0
Other Assets +,213,245,234,212,222,110,44
Total Assets,234,270,262,236,243,130,61
