,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14,14,14
Reserves,169,155,189,203,221,231,248,234,224,268,271
Borrowings +,10,19,0,0,36,81,65,82,29,2,21
Other Liabilities +,74,93,82,118,107,102,103,108,108,109,104
Total Liabilities,266,280,285,335,378,428,429,437,375,393,410
Fixed Assets +,95,77,97,100,102,103,116,125,117,117,118
CWIP,0,2,2,1,4,1,1,0,3,7,4
Investments,27,14,6,12,11,2,4,4,11,20,20
Other Assets +,144,188,179,222,261,322,309,308,244,248,268
Total Assets,266,280,285,335,378,428,429,437,375,393,410
