,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,33,78,243,298,250,313,353
Expenses +,195,131,213,258,210,446,396
Operating Profit,-162,-53,30,40,40,-133,-43
OPM %,-499%,-68%,12%,14%,16%,-43%,-12%
Other Income +,18,20,24,20,32,46,51
Interest,0,0,3,4,5,7,7
Depreciation,1,3,15,17,20,25,27
Profit before tax,-146,-37,35,39,47,-119,-26
Tax %,-0%,0%,27%,20%,-120%,-2%,
Net Profit,-146,-37,26,31,103,-121,-31
EPS in Rs,-461.48,-107.09,48.39,63.43,258.07,-28.33,-9.24
