,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Share Capital +,8,10,10,10,10
Reserves,6,16,24,28,32
Borrowings +,19,34,38,54,67
Other Liabilities +,11,25,26,43,45
Total Liabilities,44,85,98,135,154
Fixed Assets +,9,14,20,20,23
CWIP,0,0,0,0,0
Investments,0,0,0,0,0
Other Assets +,35,71,78,115,131
Total Assets,44,85,98,135,154
