,Mar 2016,Mar 2017,Mar 2018
Share Capital +,30,35,59
Reserves,35,35,129
Borrowings +,0,7,3
Other Liabilities +,32,37,64
Total Liabilities,72,89,205
Fixed Assets +,9,19,26
CWIP,0,1,2
Investments,0,0,74
Other Assets +,63,69,103
Total Assets,72,89,205
