,Mar 2020,Mar 2021,Mar 2022
Sales +,924,625,841
Expenses +,879,575,782
Operating Profit,45,50,59
OPM %,5%,8%,7%
Other Income +,-25,-7,-4
Interest,12,14,10
Depreciation,8,9,9
Profit before tax,-0,21,35
Tax %,507%,28%,25%
Net Profit,2,15,26
EPS in Rs,0.71,5.61,9.78
