,Mar 2018
Sales +,"2,935"
Expenses +,"2,351"
Operating Profit,584
OPM %,20%
Other Income +,15
Interest,89
Depreciation,121
Profit before tax,388
Tax %,1%
Net Profit,386
EPS in Rs,24.62
