,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,208,208,208,208,214,214,214,214,214,214,214,214,214
Reserves,341,357,373,368,389,396,332,-68,-110,-174,-187,-200,-204
Borrowings +,27,24,24,24,16,19,15,10,20,27,33,41,40
Other Liabilities +,50,44,42,20,20,40,44,48,50,47,50,46,43
Total Liabilities,626,634,648,620,638,669,605,203,174,114,111,100,93
Fixed Assets +,31,43,37,39,37,44,40,91,99,35,31,22,21
CWIP,0,0,0,0,0,0,0,0,0,5,6,0,0
Investments,159,200,200,194,192,181,132,52,9,9,9,6,6
Other Assets +,436,391,411,388,409,444,432,60,65,65,65,72,66
Total Assets,626,634,648,620,638,669,605,203,174,114,111,100,93
