,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,359,426,484,652,823
Expenses +,313,354,392,542,696
Operating Profit,47,73,93,111,127
OPM %,13%,17%,19%,17%,15%
Other Income +,2,5,4,-1,3
Interest,15,13,11,14,17
Depreciation,7,7,9,11,18
Profit before tax,28,57,77,84,94
Tax %,33%,31%,31%,31%,
Net Profit,19,39,53,58,66
EPS in Rs,5.50,5.91,8.00,8.52,9.63
