,Mar 2015,Mar 2016,TTM
Sales +,200,188,199
Expenses +,172,155,157
Operating Profit,27,32,42
OPM %,14%,17%,21%
Other Income +,3,1,1
Interest,3,3,3
Depreciation,4,4,4
Profit before tax,24,26,35
Tax %,32%,36%,
Net Profit,16,17,23
EPS in Rs,21.88,22.75,31.23
