,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,10,10,11,11
Reserves,119,277,398,794,848
Borrowings +,8,67,-0,8,71
Other Liabilities +,118,118,152,442,381
Total Liabilities,250,471,561,"1,255","1,312"
Fixed Assets +,74,94,181,607,638
CWIP,3,22,0,1,1
Investments,-0,18,-0,36,18
Other Assets +,173,338,379,611,655
Total Assets,250,471,561,"1,255","1,312"
