,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Sep 2015
Share Capital +,10,10,10,10,10,10,10,10,10,11,11
Reserves,44,48,50,57,70,74,72,79,90,105,118
Borrowings +,0,0,0,0,0,0,0,0,5,5,2
Other Liabilities +,14,21,30,33,33,27,32,35,49,53,45
Total Liabilities,68,79,90,101,113,111,114,125,154,173,176
Fixed Assets +,21,22,20,19,19,22,22,23,40,38,39
CWIP,1,0,0,0,0,1,0,1,2,2,1
Investments,5,1,0,12,28,17,8,4,0,0,8
Other Assets +,41,56,70,70,67,71,85,97,112,133,128
Total Assets,68,79,90,101,113,111,114,125,154,173,176
