,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15,15,15,15,51,90,232,232,15
Reserves,14,18,28,47,78,113,210,349,514,716,954,"1,252","1,671"
Borrowings +,10,7,5,3,2,2,1,1,1,39,18,2,2
Other Liabilities +,33,67,87,115,134,137,133,136,213,356,376,467,333
Total Liabilities,71,107,135,180,229,267,358,500,743,"1,126","1,364","1,736","2,021"
Fixed Assets +,25,28,33,102,113,144,152,169,227,272,305,287,285
CWIP,0,13,51,25,31,0,3,15,10,20,14,18,55
Investments,1,1,1,0,0,0,17,47,70,61,11,89,142
Other Assets +,45,66,50,52,85,122,186,269,436,772,"1,033","1,343","1,539"
Total Assets,71,107,135,180,229,267,358,500,743,"1,126","1,364","1,736","2,021"
