,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Sales +,"3,720","5,382","9,541","10,155"
Expenses +,"2,949","4,383","8,056","8,907"
Operating Profit,771,999,"1,485","1,248"
OPM %,21%,19%,16%,12%
Other Income +,5,26,8,13
Interest,331,541,665,756
Depreciation,22,39,64,69
Profit before tax,422,446,763,436
Tax %,33%,13%,8%,2%
Net Profit,282,398,701,427
EPS in Rs,2.95,4.15,7.31,4.46
