,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,631","4,288","5,060","4,545","5,586","8,371","10,384","11,018"
Expenses +,"3,578","4,204","4,953","4,427","5,466","8,230","10,159","10,753"
Operating Profit,53,84,107,118,120,141,225,265
OPM %,1%,2%,2%,3%,2%,2%,2%,2%
Other Income +,17,21,11,10,13,17,17,15
Interest,40,53,70,84,84,62,56,68
Depreciation,15,21,28,30,23,30,29,29
Profit before tax,15,31,20,14,26,66,156,184
Tax %,36%,35%,23%,23%,27%,32%,21%,
Net Profit,9,20,15,11,19,45,123,145
EPS in Rs,0.71,1.52,1.17,0.82,1.45,3.39,8.59,10.11
