,Mar 2016,Mar 2017,Mar 2018,Mar 2022,Sep 2022
Share Capital +,24,25,25,11,11
Reserves,-276,-641,-688,-731,-757
Borrowings +,"1,047","1,048","1,041","1,036","1,030"
Other Liabilities +,274,246,251,316,340
Total Liabilities,"1,055",665,615,632,623
Fixed Assets +,374,342,311,236,227
CWIP,4,2,0,9,17
Investments,39,39,46,64,64
Other Assets +,638,281,258,323,314
Total Assets,"1,055",665,615,632,623
