,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,85,85,85,85,85,85,83,83,83,83,83,83,83
Reserves,"3,947","4,904","6,284","7,780","9,768","12,484","12,179","12,489","13,994","15,616","17,755","19,289","20,692"
Borrowings +,"2,371","3,234","3,682","4,477","4,314","3,352","4,918","5,071","3,838","2,210","3,031","3,384","1,729"
Other Liabilities +,"2,461","3,082","3,329","3,563","4,290","4,408","4,474","4,706","4,503","5,314","5,719","6,988","6,665"
Total Liabilities,"8,863","11,305","13,380","15,906","18,457","20,330","21,654","22,349","22,418","23,223","26,588","29,746","29,169"
Fixed Assets +,"3,386","3,412","4,051","4,641","5,377","6,563","6,931","6,968","7,191","6,850","8,206","8,122","8,848"
CWIP,575,708,565,639,529,772,"3,324","3,470","2,934","1,535","1,565","1,293","1,161"
Investments,1,208,197,"1,067","2,248","3,833","2,110","2,298","2,587","2,678","2,212","2,616","1,990"
Other Assets +,"4,902","6,977","8,567","9,559","10,303","9,162","9,290","9,612","9,707","12,160","14,605","17,715","17,170"
Total Assets,"8,863","11,305","13,380","15,906","18,457","20,330","21,654","22,349","22,418","23,223","26,588","29,746","29,169"
