,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,20,20,20,20,20,20,20,20
Reserves,-735,-400,-295,-193,-186,-38,-74,8,16
Borrowings +,653,419,338,263,238,209,184,117,115
Other Liabilities +,801,587,566,368,448,241,175,172,136
Total Liabilities,738,626,628,457,520,431,305,316,286
Fixed Assets +,175,157,143,131,119,106,93,82,77
CWIP,13,9,9,9,9,9,9,9,9
Investments,0,0,0,0,0,0,0,0,7
Other Assets +,551,460,476,317,392,316,202,225,193
Total Assets,738,626,628,457,520,431,305,316,286
