,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,18,18,21,22,23,24,48,48,48,48,48,48
Reserves,-6,5,9,22,44,102,154,212,281,368,372,430,468
Borrowings +,0,2,6,26,82,87,120,114,123,132,109,122,113
Other Liabilities +,1,5,11,33,89,97,154,207,147,170,102,71,64
Total Liabilities,4,29,44,101,237,309,452,581,599,718,632,672,693
Fixed Assets +,1,16,22,54,107,118,222,228,220,278,206,199,206
CWIP,0,0,0,0,0,1,1,0,0,0,0,0,0
Investments,2,2,2,2,0,0,0,0,0,0,0,0,0
Other Assets +,2,11,20,46,129,190,229,353,379,441,425,473,487
Total Assets,4,29,44,101,237,309,452,581,599,718,632,672,693
