,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1.96,1.96,11.76,11.76,11.76,11.76,11.76,9.41,9.41
Reserves,15.71,18.83,8.10,7.82,5.92,1.03,11.17,15.10,8.06
Borrowings +,28.60,21.94,0.18,0.10,0.00,0.00,0.00,0.00,0.00
Other Liabilities +,4.01,5.58,18.90,12.60,8.24,15.76,7.90,2.23,28.14
Total Liabilities,50.28,48.31,38.94,32.28,25.92,28.55,30.83,26.74,45.61
Fixed Assets +,1.99,1.80,1.87,1.65,1.45,0.72,0.66,0.64,0.62
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,4.29,6.70,5.15,5.08,4.98,4.87,4.83,4.97,5.56
Other Assets +,44.00,39.81,31.92,25.55,19.49,22.96,25.34,21.13,39.43
Total Assets,50.28,48.31,38.94,32.28,25.92,28.55,30.83,26.74,45.61
