,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,138,139,139,140,281,282,285,278,271,543,543,543,543
Reserves,"7,514","9,696","13,020","19,402","23,943","27,109","32,664","36,108","41,095","50,724","59,370","61,371","60,698"
Borrowings +,"2,187","2,179","1,044","1,018",648,"1,090",582,557,"4,195","7,986","6,864","6,343","6,517"
Other Liabilities +,"4,061","6,323","8,196","9,419","10,373","10,860","12,231","11,046","12,788","23,566","19,270","20,664","20,757"
Total Liabilities,"13,901","18,338","22,399","29,980","35,245","39,341","45,762","47,989","58,349","82,819","86,047","88,921","88,515"
Fixed Assets +,"5,246","6,453","6,753","7,444","8,275","9,716","15,235","18,753","22,888","37,490","37,145","35,077","35,022"
CWIP,556,578,494,531,552,611,448,320,235,400,312,129,97
Investments,738,673,713,662,869,698,"1,306","2,660","2,305","7,066","6,862","6,351","5,205"
Other Assets +,"7,362","10,633","14,440","21,343","25,548","28,315","28,773","26,256","32,921","37,863","41,728","47,364","48,191"
Total Assets,"13,901","18,338","22,399","29,980","35,245","39,341","45,762","47,989","58,349","82,819","86,047","88,921","88,515"
