,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,59,59,59,59,59,59,59,59,59,59,59,59,65
Reserves,"3,667","3,773","3,859","3,944","4,075","4,058","4,157","4,076","2,442","2,426","2,440","2,580","2,649"
Borrowings +,964,"1,295","1,476","1,384","1,356","1,489","1,721","2,600","1,591","1,691","1,663","1,293",897
Other Liabilities +,256,350,414,760,601,643,756,738,509,412,448,453,912
Total Liabilities,"4,946","5,477","5,808","6,147","6,091","6,249","6,692","7,473","4,602","4,588","4,611","4,385","4,523"
Fixed Assets +,"2,004","2,178","2,148","2,680","2,555",380,"2,627","2,789","1,351","1,342","1,326","1,310","1,303"
CWIP,526,518,563,61,169,169,145,192,146,140,90,48,47
Investments,258,324,481,550,663,"2,876",649,594,402,461,423,460,467
Other Assets +,"2,157","2,457","2,615","2,856","2,704","2,824","3,272","3,899","2,703","2,645","2,772","2,567","2,706"
Total Assets,"4,946","5,477","5,808","6,147","6,091","6,249","6,692","7,473","4,602","4,588","4,611","4,385","4,523"
