,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,18,19,19,19,19,19,24,24,2
Reserves,40,46,50,53,39,20,14,-5,-7
Borrowings +,85,100,108,69,80,82,47,46,3
Other Liabilities +,76,96,59,59,54,57,54,54,73
Total Liabilities,219,261,236,200,193,178,138,119,71
Fixed Assets +,76,73,69,55,53,49,45,37,35
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,0,0,17,17,17,0,0,0
Other Assets +,143,188,167,128,123,113,93,82,36
Total Assets,219,261,236,200,193,178,138,119,71
