,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4,4,4,4
Reserves,155,160,171,179,171,183,191,196
Borrowings +,0,0,0,0,4,5,6,10
Other Liabilities +,24,31,31,34,31,43,42,52
Total Liabilities,183,195,206,217,209,234,243,262
Fixed Assets +,33,36,42,47,49,64,65,74
CWIP,4,3,1,2,13,3,8,4
Investments,36,39,46,49,42,54,58,61
Other Assets +,110,117,118,120,106,113,112,122
Total Assets,183,195,206,217,209,234,243,262
