,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,35,35,35,35,35,49,49,49,49,35,35,35
Reserves,24,44,62,79,103,127,173,196,280,310,352,370
Borrowings +,89,95,87,100,79,125,130,129,117,116,84,76
Other Liabilities +,51,58,68,39,71,100,116,120,142,134,128,166
Total Liabilities,200,231,252,253,287,386,454,480,574,595,598,646
Fixed Assets +,74,76,77,112,110,178,221,230,258,248,258,231
CWIP,0,6,5,5,3,2,5,2,1,4,2,2
Investments,0,0,0,0,0,1,0,0,0,0,8,12
Other Assets +,125,149,170,136,174,205,228,247,314,343,330,402
Total Assets,200,231,252,253,287,386,454,480,574,595,598,646
