,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,8,8,8,8,15,15,15,15,15,15
Reserves,109,139,166,213,213,238,274,307,362,310,366,451,469
Borrowings +,240,258,307,381,258,273,414,556,445,182,166,149,91
Other Liabilities +,124,135,100,156,103,136,115,157,198,113,131,170,168
Total Liabilities,480,539,581,757,581,654,811,"1,036","1,020",621,678,785,743
Fixed Assets +,106,201,221,221,231,228,221,219,221,225,217,228,228
CWIP,58,12,16,15,6,7,3,4,2,18,19,12,24
Investments,1,1,0,0,0,0,11,11,12,10,11,11,10
Other Assets +,315,325,344,520,343,419,577,802,784,367,431,534,481
Total Assets,480,539,581,757,581,654,811,"1,036","1,020",621,678,785,743
