,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,7,7,7,7,7,7
Reserves,259,360,440,492,557,635,689,806,879
Borrowings +,161,110,8,8,90,96,0,73,37
Other Liabilities +,110,101,102,93,104,98,92,108,137
Total Liabilities,535,576,555,600,758,835,787,994,"1,060"
Fixed Assets +,188,173,173,172,214,234,227,243,271
CWIP,0,1,16,34,40,21,20,12,40
Investments,0,2,1,9,0,0,0,0,0
Other Assets +,347,400,366,385,503,581,540,739,749
Total Assets,535,576,555,600,758,835,787,994,"1,060"
