,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,55,53,41,28,27,14,14,14,14,14,14,14,14
Reserves,94,103,81,74,151,122,73,21,-97,-113,-163,-210,-397
Borrowings +,108,116,188,328,309,789,720,738,740,752,762,767,764
Other Liabilities +,94,96,113,98,92,234,223,227,178,171,162,162,42
Total Liabilities,308,327,394,512,566,"1,159","1,030",999,835,822,774,733,422
Fixed Assets +,162,173,193,200,235,276,433,405,162,154,147,140,137
CWIP,40,45,74,135,201,202,27,19,0,0,0,0,0
Investments,24,24,23,2,2,2,2,2,171,169,169,169,169
Other Assets +,82,85,104,176,128,679,568,574,503,500,459,424,116
Total Assets,308,327,394,512,566,"1,159","1,030",999,835,822,774,733,422
