,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,284.53,107.38,38.05,27.74
Expenses +,265.38,104.01,33.90,21.28
Operating Profit,19.15,3.37,4.15,6.46
OPM %,6.73%,3.14%,10.91%,23.29%
Other Income +,5.18,9.83,7.80,7.99
Interest,0.46,0.22,0.08,0.08
Depreciation,22.86,17.49,14.04,14.02
Profit before tax,1.01,-4.51,-2.17,0.35
Tax %,47.52%,10.64%,-14.75%,
Net Profit,0.53,-4.03,-2.50,0.03
EPS in Rs,,-0.21,-0.14,-0.01
