,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,15,15,15,15
Reserves,246,282,655,668,668,672,690,705,716,704,727,760,774
Borrowings +,50,43,47,101,139,132,114,206,198,228,358,459,450
Other Liabilities +,85,90,93,99,84,57,87,70,70,97,90,166,115
Total Liabilities,391,426,805,879,901,871,901,991,994,"1,044","1,192","1,401","1,354"
Fixed Assets +,88,115,184,267,290,301,323,376,427,441,463,566,566
CWIP,3,21,1,12,17,1,3,12,13,11,72,25,40
Investments,3,1,281,292,257,288,257,272,258,242,277,291,273
Other Assets +,297,289,339,309,337,281,319,331,296,350,380,519,475
Total Assets,391,426,805,879,901,871,901,991,994,"1,044","1,192","1,401","1,354"
