,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15.10,15.10,15.10,15.10,15.10,15.10,15.10,15.10,15.10,15.10
Reserves,174.05,277.14,313.71,327.19,338.94,355.59,355.18,396.86,419.82,409.99
Borrowings +,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Liabilities +,249.94,56.96,53.67,41.96,44.00,39.34,44.09,36.66,35.49,44.14
Total Liabilities,464.09,349.20,382.48,384.25,398.04,410.03,414.37,448.62,470.41,469.23
Fixed Assets +,38.57,111.22,113.97,101.55,88.86,78.11,64.17,52.81,42.62,39.34
CWIP,202.29,3.31,3.50,5.19,5.93,3.56,3.33,1.68,1.68,1.68
Investments,29.25,187.49,221.07,243.36,262.02,292.39,300.17,350.74,391.85,234.59
Other Assets +,193.98,47.18,43.94,34.15,41.23,35.97,46.70,43.39,34.26,193.62
Total Assets,464.09,349.20,382.48,384.25,398.04,410.03,414.37,448.62,470.41,469.23
