,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,18,18
Reserves,133,202,346,510,585
Borrowings +,0,10,114,175,250
Other Liabilities +,11,24,20,63,27
Total Liabilities,161,253,498,765,880
Fixed Assets +,0,0,1,1,2
CWIP,0,0,0,0,0
Investments,84,181,2,43,63
Other Assets +,77,72,495,721,815
Total Assets,161,253,498,765,880
