,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,9,13,13,13,13,44,44,44,58,58,58,58
Reserves,26,103,133,170,218,222,273,327,379,532,448,286
Borrowings +,12,54,69,129,146,293,353,392,502,555,451,830
Other Liabilities +,47,59,73,86,249,127,87,115,189,142,348,229
Total Liabilities,94,229,288,398,624,685,758,879,"1,128","1,287","1,305","1,403"
Fixed Assets +,6,6,55,87,122,126,159,176,192,290,304,310
CWIP,34,61,35,8,0,21,23,23,0,2,2,160
Investments,0,24,33,39,61,48,36,1,38,40,8,12
Other Assets +,53,138,164,264,442,491,540,678,899,956,991,921
Total Assets,94,229,288,398,624,685,758,879,"1,128","1,287","1,305","1,403"
