,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,15.46,15.46,15.46
Reserves,75.26,2.70,-2.88,-19.51,-32.93,-43.57,-41.82,-6.29,-5.81,-5.75,-5.53,-1.19,-3.45
Borrowings +,89.32,67.65,62.22,53.36,60.90,36.97,35.11,0.32,0.55,1.17,1.70,4.90,4.43
Other Liabilities +,65.42,43.15,76.53,9.31,9.06,0.42,0.36,0.28,0.31,0.45,6.46,8.68,8.31
Total Liabilities,242.37,125.87,148.24,55.53,49.40,6.19,6.02,6.68,7.42,8.24,18.09,27.85,24.75
Fixed Assets +,137.59,59.30,53.56,45.03,41.97,0.00,0.00,0.00,0.01,0.01,5.50,4.42,3.98
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,4.14,6.74,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,3.11,0.00
Other Assets +,100.64,59.83,91.94,10.50,7.43,6.19,6.02,6.68,7.41,8.23,9.48,20.32,20.77
Total Assets,242.37,125.87,148.24,55.53,49.40,6.19,6.02,6.68,7.42,8.24,18.09,27.85,24.75
