,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,14,14,14,14,14,14,14,14,14,14
Reserves,119,124,137,138,142,156,182,216,276,377,520,670,692
Borrowings +,47,69,86,96,86,90,111,165,110,122,62,55,65
Other Liabilities +,337,433,447,407,437,456,659,669,765,868,847,886,934
Total Liabilities,516,639,682,655,679,715,967,"1,064","1,164","1,382","1,443","1,625","1,706"
Fixed Assets +,61,75,101,94,85,103,99,145,161,194,190,192,192
CWIP,9,15,1,1,14,2,34,7,12,12,15,20,25
Investments,5,5,3,3,2,2,3,4,5,5,5,9,9
Other Assets +,442,544,577,557,578,608,831,909,987,"1,172","1,234","1,404","1,479"
Total Assets,516,639,682,655,679,715,967,"1,064","1,164","1,382","1,443","1,625","1,706"
