,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,0,22,22,22,22,22,22
Reserves,80,87,95,111,128,129,135
Borrowings +,31,20,30,17,3,2,2
Other Liabilities +,35,15,20,21,12,14,17
Total Liabilities,147,144,168,171,166,168,176
Fixed Assets +,25,22,20,22,20,18,17
CWIP,0,0,0,0,0,0,0
Investments,48,53,57,62,68,70,72
Other Assets +,74,69,91,87,77,80,87
Total Assets,147,144,168,171,166,168,176
