,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,12,12,12,12,12,12,12
Reserves,267,269,290,322,389,479,"1,673","2,084","2,381","2,400","2,869","3,225","3,209"
Borrowings +,52,98,114,163,310,326,276,471,832,892,733,573,718
Other Liabilities +,48,69,102,169,222,268,460,620,"1,049","1,423","1,408","1,224","1,375"
Total Liabilities,379,449,519,666,933,"1,085","2,420","3,187","4,274","4,726","5,021","5,034","5,314"
Fixed Assets +,52,49,46,59,74,86,72,85,129,117,141,111,106
CWIP,1,0,1,5,1,0,16,5,0,19,0,1,12
Investments,148,141,155,166,165,201,"1,349","1,686","1,805","2,180","2,645","3,013","2,946"
Other Assets +,178,258,316,435,694,798,984,"1,411","2,340","2,410","2,236","1,910","2,249"
Total Assets,379,449,519,666,933,"1,085","2,420","3,187","4,274","4,726","5,021","5,034","5,314"
