,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,6,6,6,6
Reserves,11,35,32,37,7,10,6,-6,-8,-18,-27
Borrowings +,8,18,17,16,19,30,30,22,21,28,30
Other Liabilities +,70,77,67,70,52,57,55,76,97,93,102
Total Liabilities,95,137,122,130,84,103,98,98,117,110,111
Fixed Assets +,60,90,76,78,37,45,44,41,43,41,39
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,3,0,0,0,0,0,0
Other Assets +,35,47,46,52,44,58,54,57,74,69,72
Total Assets,95,137,122,130,84,103,98,98,117,110,111
