SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,36.3,42.8,35.5,36.05,35.75,35.85,24481,890258.7,28-FEB-2015,258,INE144J01027,
3IINFOTECH,EQ,8.1,8.35,7.9,7.95,8,8.2,925326,7504737.1,28-FEB-2015,1239,INE748C01020,
3MINDIA,EQ,7500.05,7944,7500.05,7840.45,7848,7796.45,586,4618848,28-FEB-2015,247,INE470A01017,
8KMILES,EQ,704.75,710.6,685,696.35,692,701.95,11041,7713149.7,28-FEB-2015,860,INE650K01013,
A2ZINFRA,EQ,20.85,21.7,18.9,19.6,19.6,20.5,1895754,38796821.8,28-FEB-2015,7569,INE619I01012,
AARTIDRUGS,EQ,1258,1279,1242.05,1264.2,1256,1261.8,5766,7276561.85,28-FEB-2015,720,INE767A01016,
AARTIIND,EQ,292,299,285.4,288.6,288.45,290.55,62455,18178915.35,28-FEB-2015,2058,INE769A01020,
AARVEEDEN,EQ,49,49,47,47,47,47.15,566,26755.5,28-FEB-2015,16,INE273D01019,
ABAN,EQ,475.3,477.95,465.15,471.1,470.05,471.6,563812,265909834.15,28-FEB-2015,13553,INE421A01028,
ABB,EQ,1420.7,1458,1383.5,1399.55,1395,1409.65,223595,319649860.8,28-FEB-2015,8397,INE117A01022,
ABBOTINDIA,EQ,3790.65,3840,3760.2,3792.2,3800,3775.5,1423,5409640.75,28-FEB-2015,303,INE358A01014,
ABCIL,EQ,224,228.45,223.5,225.8,226,224.05,107876,24315156.3,28-FEB-2015,665,INE605B01016,
ABGSHIP,EQ,247.4,249.65,227.9,237,238.2,248.4,642897,154887672.55,28-FEB-2015,11166,INE067H01016,
ABIRLANUVO,EQ,1743,1744,1680.05,1720.95,1723.95,1723.75,95887,164743624,28-FEB-2015,6642,INE069A01017,
ACC,EQ,1677,1697.9,1648.55,1678.1,1678.65,1673.45,458370,763552217.5,28-FEB-2015,14820,INE012A01025,
ACCELYA,EQ,940.6,951.2,916.1,923.25,916.1,945.4,3048,2836344.65,28-FEB-2015,356,INE793A01012,
ACE,EQ,38.95,39.4,37.15,37.35,37.35,37.85,343491,13167512.85,28-FEB-2015,2478,INE731H01025,
ACROPETAL,EQ,3.25,3.25,3.1,3.1,3.1,3.1,52261,165574.05,28-FEB-2015,49,INE055L01013,
ADANIENT,EQ,716.7,719.8,687.5,697.5,697.05,711.35,1881758,1327155012.1,28-FEB-2015,32687,INE423A01024,
ADANIPORTS,EQ,349.9,357.95,326.3,330.75,330.9,346.25,5648235,1954672792.85,28-FEB-2015,72523,INE742F01042,
ADANIPOWER,EQ,58,58.6,54.75,56.05,55.8,57.4,13627550,775560830.6,28-FEB-2015,34071,INE814H01011,
ADFFOODS,EQ,66.2,66.5,64,64.55,64.65,65.75,53739,3499103.6,28-FEB-2015,726,INE982B01019,
ADHUNIK,EQ,19.95,20.4,19.5,19.65,19.55,19.85,30048,598494.2,28-FEB-2015,463,INE400H01019,
ADORWELD,EQ,203.3,206.05,201,203.65,205.15,198.6,2923,597029.95,28-FEB-2015,157,INE045A01017,
ADSL,EQ,21.55,23.75,21.55,22.75,22.85,23.1,79882,1817886.05,28-FEB-2015,623,INE102I01027,
ADVANIHOTR,EQ,55.5,55.65,50.3,51,50.3,53.5,2294,121232.75,28-FEB-2015,37,INE199C01026,
ADVANTA,EQ,411.4,420.7,393.05,405.7,402.65,406.3,60776,24890713.1,28-FEB-2015,2745,INE517H01028,
AEGISCHEM,EQ,429,429,410,416.95,415.25,423,12981,5430673.5,28-FEB-2015,859,INE208C01017,
